CNC Machine Opened at 07/07/2012 19:26:16
07/07/2012 19:26:18: Drill Location = (0, 0, 0); Message: UART Open
07/07/2012 19:26:20: Drill Location = (0, 0, 0); Message: Data Sent: B
07/07/2012 19:26:20: Drill Location = (0, 0, 0); Message: Data Sent: R
07/07/2012 19:26:20: Drill Location = (0, 0, 0); Message: Data Sent: E
07/07/2012 19:26:20: Drill Location = (0, 0, 0); Message: Data Sent: BRE
07/07/2012 19:26:21: Drill Location = (0, 0, 0); Message: Received: D
07/07/2012 19:26:22: Drill Location = (0, 0, 0); Message: Data Sent: B
07/07/2012 19:26:22: Drill Location = (0, 0, 0); Message: Data Sent: y
07/07/2012 19:26:22: Drill Location = (0, -1, 0); Message: Data Sent: E
07/07/2012 19:26:22: Drill Location = (0, -1, 0); Message: Data Sent: ByE
07/07/2012 19:26:22: Drill Location = (0, -1, 0); Message: Data Sent: B
07/07/2012 19:26:22: Drill Location = (0, -1, 0); Message: Data Sent: y
07/07/2012 19:26:22: Drill Location = (0, -2, 0); Message: Data Sent: E
07/07/2012 19:26:22: Drill Location = (0, -2, 0); Message: Data Sent: ByE
07/07/2012 19:26:22: Drill Location = (0, -2, 0); Message: Received: D
07/07/2012 19:26:22: Drill Location = (0, -2, 0); Message: Data Sent: B
07/07/2012 19:26:22: Drill Location = (0, -2, 0); Message: Data Sent: y
07/07/2012 19:26:22: Drill Location = (0, -3, 0); Message: Data Sent: E
07/07/2012 19:26:22: Drill Location = (0, -3, 0); Message: Data Sent: ByE
07/07/2012 19:26:22: Drill Location = (0, -3, 0); Message: Data Sent: B
07/07/2012 19:26:22: Drill Location = (0, -3, 0); Message: Data Sent: y
07/07/2012 19:26:22: Drill Location = (0, -4, 0); Message: Data Sent: E
07/07/2012 19:26:22: Drill Location = (0, -4, 0); Message: Data Sent: ByE
07/07/2012 19:26:22: Drill Location = (0, -4, 0); Message: Received: D
07/07/2012 19:26:22: Drill Location = (0, -4, 0); Message: Data Sent: B
07/07/2012 19:26:22: Drill Location = (0, -4, 0); Message: Data Sent: y
07/07/2012 19:26:22: Drill Location = (0, -5, 0); Message: Data Sent: E
07/07/2012 19:26:22: Drill Location = (0, -5, 0); Message: Data Sent: ByE
07/07/2012 19:26:23: Drill Location = (0, -5, 0); Message: Data Sent: B
07/07/2012 19:26:23: Drill Location = (0, -5, 0); Message: Data Sent: y
07/07/2012 19:26:23: Drill Location = (0, -6, 0); Message: Data Sent: E
07/07/2012 19:26:23: Drill Location = (0, -6, 0); Message: Data Sent: ByE
07/07/2012 19:26:23: Drill Location = (0, -6, 0); Message: Received: D
07/07/2012 19:26:23: Drill Location = (0, -6, 0); Message: Data Sent: B
07/07/2012 19:26:23: Drill Location = (0, -6, 0); Message: Data Sent: y
07/07/2012 19:26:23: Drill Location = (0, -7, 0); Message: Data Sent: E
07/07/2012 19:26:23: Drill Location = (0, -7, 0); Message: Data Sent: ByE
07/07/2012 19:26:23: Drill Location = (0, -7, 0); Message: Received: D
07/07/2012 19:26:23: Drill Location = (0, -7, 0); Message: Data Sent: B
07/07/2012 19:26:23: Drill Location = (0, -7, 0); Message: Data Sent: y
07/07/2012 19:26:23: Drill Location = (0, -8, 0); Message: Data Sent: E
07/07/2012 19:26:23: Drill Location = (0, -8, 0); Message: Data Sent: ByE
07/07/2012 19:26:24: Drill Location = (0, -8, 0); Message: Received: D
07/07/2012 19:26:24: Drill Location = (0, -8, 0); Message: Data Sent: B
07/07/2012 19:26:24: Drill Location = (0, -8, 0); Message: Data Sent: y
07/07/2012 19:26:24: Drill Location = (0, -9, 0); Message: Data Sent: E
07/07/2012 19:26:24: Drill Location = (0, -9, 0); Message: Data Sent: ByE
07/07/2012 19:26:24: Drill Location = (0, -9, 0); Message: Received: D
07/07/2012 19:26:24: Drill Location = (0, -9, 0); Message: Data Sent: B
07/07/2012 19:26:24: Drill Location = (0, -9, 0); Message: Data Sent: y
07/07/2012 19:26:24: Drill Location = (0, -10, 0); Message: Data Sent: E
07/07/2012 19:26:24: Drill Location = (0, -10, 0); Message: Data Sent: ByE
07/07/2012 19:26:25: Drill Location = (0, -10, 0); Message: Data Sent: B
07/07/2012 19:26:25: Drill Location = (0, -10, 0); Message: Data Sent: y
07/07/2012 19:26:25: Drill Location = (0, -11, 0); Message: Data Sent: E
07/07/2012 19:26:25: Drill Location = (0, -11, 0); Message: Data Sent: ByE
07/07/2012 19:26:25: Drill Location = (0, -11, 0); Message: Received: D
07/07/2012 19:26:25: Drill Location = (0, -11, 0); Message: Data Sent: B
07/07/2012 19:26:25: Drill Location = (0, -11, 0); Message: Data Sent: y
07/07/2012 19:26:25: Drill Location = (0, -12, 0); Message: Data Sent: E
07/07/2012 19:26:25: Drill Location = (0, -12, 0); Message: Data Sent: ByE
07/07/2012 19:26:25: Drill Location = (0, -12, 0); Message: Received: D
07/07/2012 19:26:25: Drill Location = (0, -12, 0); Message: Data Sent: B
07/07/2012 19:26:25: Drill Location = (0, -12, 0); Message: Data Sent: y
07/07/2012 19:26:25: Drill Location = (0, -13, 0); Message: Data Sent: E
07/07/2012 19:26:25: Drill Location = (0, -13, 0); Message: Data Sent: ByE
07/07/2012 19:26:25: Drill Location = (0, -13, 0); Message: Data Sent: B
07/07/2012 19:26:25: Drill Location = (0, -13, 0); Message: Data Sent: y
07/07/2012 19:26:25: Drill Location = (0, -14, 0); Message: Data Sent: E
07/07/2012 19:26:25: Drill Location = (0, -14, 0); Message: Data Sent: ByE
07/07/2012 19:26:25: Drill Location = (0, -14, 0); Message: Received: D
07/07/2012 19:26:26: Drill Location = (0, -14, 0); Message: Data Sent: B
07/07/2012 19:26:26: Drill Location = (0, -14, 0); Message: Data Sent: y
07/07/2012 19:26:26: Drill Location = (0, -15, 0); Message: Data Sent: E
07/07/2012 19:26:26: Drill Location = (0, -15, 0); Message: Data Sent: ByE
07/07/2012 19:26:26: Drill Location = (0, -15, 0); Message: Data Sent: B
07/07/2012 19:26:26: Drill Location = (0, -15, 0); Message: Data Sent: y
07/07/2012 19:26:26: Drill Location = (0, -16, 0); Message: Data Sent: E
07/07/2012 19:26:26: Drill Location = (0, -16, 0); Message: Data Sent: ByE
07/07/2012 19:26:26: Drill Location = (0, -16, 0); Message: Received: D
07/07/2012 19:26:26: Drill Location = (0, -16, 0); Message: Data Sent: B
07/07/2012 19:26:26: Drill Location = (0, -16, 0); Message: Data Sent: y
07/07/2012 19:26:26: Drill Location = (0, -17, 0); Message: Data Sent: E
07/07/2012 19:26:26: Drill Location = (0, -17, 0); Message: Data Sent: ByE
07/07/2012 19:26:26: Drill Location = (0, -17, 0); Message: Data Sent: B
07/07/2012 19:26:26: Drill Location = (0, -17, 0); Message: Data Sent: y
07/07/2012 19:26:26: Drill Location = (0, -18, 0); Message: Data Sent: E
07/07/2012 19:26:26: Drill Location = (0, -18, 0); Message: Data Sent: ByE
07/07/2012 19:26:26: Drill Location = (0, -18, 0); Message: Received: D
07/07/2012 19:26:27: Drill Location = (0, -18, 0); Message: Data Sent: B
07/07/2012 19:26:27: Drill Location = (0, -18, 0); Message: Data Sent: y
07/07/2012 19:26:27: Drill Location = (0, -19, 0); Message: Data Sent: E
07/07/2012 19:26:27: Drill Location = (0, -19, 0); Message: Data Sent: ByE
07/07/2012 19:26:27: Drill Location = (0, -19, 0); Message: Data Sent: B
07/07/2012 19:26:27: Drill Location = (0, -19, 0); Message: Data Sent: y
07/07/2012 19:26:27: Drill Location = (0, -20, 0); Message: Data Sent: E
07/07/2012 19:26:27: Drill Location = (0, -20, 0); Message: Data Sent: ByE
07/07/2012 19:26:27: Drill Location = (0, -20, 0); Message: Received: D
07/07/2012 19:26:27: Drill Location = (0, -20, 0); Message: Data Sent: B
07/07/2012 19:26:27: Drill Location = (0, -20, 0); Message: Data Sent: y
07/07/2012 19:26:27: Drill Location = (0, -21, 0); Message: Data Sent: E
07/07/2012 19:26:27: Drill Location = (0, -21, 0); Message: Data Sent: ByE
07/07/2012 19:26:27: Drill Location = (0, -21, 0); Message: Data Sent: B
07/07/2012 19:26:27: Drill Location = (0, -21, 0); Message: Data Sent: y
07/07/2012 19:26:27: Drill Location = (0, -22, 0); Message: Data Sent: E
07/07/2012 19:26:27: Drill Location = (0, -22, 0); Message: Data Sent: ByE
07/07/2012 19:26:27: Drill Location = (0, -22, 0); Message: Received: D
07/07/2012 19:26:28: Drill Location = (0, -22, 0); Message: Data Sent: B
07/07/2012 19:26:28: Drill Location = (0, -22, 0); Message: Data Sent: y
07/07/2012 19:26:28: Drill Location = (0, -23, 0); Message: Data Sent: E
07/07/2012 19:26:28: Drill Location = (0, -23, 0); Message: Data Sent: ByE
07/07/2012 19:26:28: Drill Location = (0, -23, 0); Message: Received: D
07/07/2012 19:26:28: Drill Location = (0, -23, 0); Message: Data Sent: B
07/07/2012 19:26:28: Drill Location = (0, -23, 0); Message: Data Sent: y
07/07/2012 19:26:28: Drill Location = (0, -24, 0); Message: Data Sent: E
07/07/2012 19:26:28: Drill Location = (0, -24, 0); Message: Data Sent: ByE
07/07/2012 19:26:29: Drill Location = (0, -24, 0); Message: Received: D
07/07/2012 19:26:29: Drill Location = (0, -24, 0); Message: Data Sent: B
07/07/2012 19:26:29: Drill Location = (0, -24, 0); Message: Data Sent: y
07/07/2012 19:26:29: Drill Location = (0, -25, 0); Message: Data Sent: E
07/07/2012 19:26:29: Drill Location = (0, -25, 0); Message: Data Sent: ByE
07/07/2012 19:26:29: Drill Location = (0, -25, 0); Message: Received: D
07/07/2012 19:26:29: Drill Location = (0, -25, 0); Message: Data Sent: B
07/07/2012 19:26:29: Drill Location = (0, -25, 0); Message: Data Sent: y
07/07/2012 19:26:29: Drill Location = (0, -26, 0); Message: Data Sent: E
07/07/2012 19:26:29: Drill Location = (0, -26, 0); Message: Data Sent: ByE
07/07/2012 19:26:30: Drill Location = (0, -26, 0); Message: Received: D
07/07/2012 19:26:30: Drill Location = (0, -26, 0); Message: Data Sent: B
07/07/2012 19:26:30: Drill Location = (0, -26, 0); Message: Data Sent: y
07/07/2012 19:26:30: Drill Location = (0, -27, 0); Message: Data Sent: E
07/07/2012 19:26:30: Drill Location = (0, -27, 0); Message: Data Sent: ByE
07/07/2012 19:26:30: Drill Location = (0, -27, 0); Message: Received: D
07/07/2012 19:26:30: Drill Location = (0, -27, 0); Message: Data Sent: B
07/07/2012 19:26:30: Drill Location = (0, -27, 0); Message: Data Sent: y
07/07/2012 19:26:30: Drill Location = (0, -28, 0); Message: Data Sent: E
07/07/2012 19:26:30: Drill Location = (0, -28, 0); Message: Data Sent: ByE
07/07/2012 19:26:31: Drill Location = (0, -28, 0); Message: Received: D
07/07/2012 19:26:31: Drill Location = (0, -28, 0); Message: Data Sent: B
07/07/2012 19:26:31: Drill Location = (0, -28, 0); Message: Data Sent: y
07/07/2012 19:26:31: Drill Location = (0, -29, 0); Message: Data Sent: E
07/07/2012 19:26:31: Drill Location = (0, -29, 0); Message: Data Sent: ByE
07/07/2012 19:26:31: Drill Location = (0, -29, 0); Message: Received: D
07/07/2012 19:26:31: Drill Location = (0, -29, 0); Message: Data Sent: B
07/07/2012 19:26:31: Drill Location = (0, -29, 0); Message: Data Sent: y
07/07/2012 19:26:31: Drill Location = (0, -30, 0); Message: Data Sent: E
07/07/2012 19:26:31: Drill Location = (0, -30, 0); Message: Data Sent: ByE
07/07/2012 19:26:32: Drill Location = (0, -30, 0); Message: Received: D
07/07/2012 19:26:32: Drill Location = (0, -30, 0); Message: Data Sent: B
07/07/2012 19:26:32: Drill Location = (0, -30, 0); Message: Data Sent: y
07/07/2012 19:26:32: Drill Location = (0, -31, 0); Message: Data Sent: E
07/07/2012 19:26:32: Drill Location = (0, -31, 0); Message: Data Sent: ByE
07/07/2012 19:26:32: Drill Location = (0, -31, 0); Message: Received: D
07/07/2012 19:26:32: Drill Location = (0, -31, 0); Message: Data Sent: B
07/07/2012 19:26:32: Drill Location = (0, -31, 0); Message: Data Sent: y
07/07/2012 19:26:32: Drill Location = (0, -32, 0); Message: Data Sent: E
07/07/2012 19:26:32: Drill Location = (0, -32, 0); Message: Data Sent: ByE
07/07/2012 19:26:33: Drill Location = (0, -32, 0); Message: Received: D
07/07/2012 19:26:33: Drill Location = (0, -32, 0); Message: Data Sent: B
07/07/2012 19:26:33: Drill Location = (0, -32, 0); Message: Data Sent: y
07/07/2012 19:26:33: Drill Location = (0, -33, 0); Message: Data Sent: E
07/07/2012 19:26:33: Drill Location = (0, -33, 0); Message: Data Sent: ByE
07/07/2012 19:26:33: Drill Location = (0, -33, 0); Message: Received: D
07/07/2012 19:26:33: Drill Location = (0, -33, 0); Message: Data Sent: B
07/07/2012 19:26:33: Drill Location = (0, -33, 0); Message: Data Sent: y
07/07/2012 19:26:33: Drill Location = (0, -34, 0); Message: Data Sent: E
07/07/2012 19:26:33: Drill Location = (0, -34, 0); Message: Data Sent: ByE
07/07/2012 19:26:34: Drill Location = (0, -34, 0); Message: Received: D
07/07/2012 19:26:34: Drill Location = (0, -34, 0); Message: Data Sent: B
07/07/2012 19:26:34: Drill Location = (0, -34, 0); Message: Data Sent: y
07/07/2012 19:26:34: Drill Location = (0, -35, 0); Message: Data Sent: E
07/07/2012 19:26:34: Drill Location = (0, -35, 0); Message: Data Sent: ByE
07/07/2012 19:26:34: Drill Location = (0, -35, 0); Message: Received: D
07/07/2012 19:26:34: Drill Location = (0, -35, 0); Message: Data Sent: B
07/07/2012 19:26:34: Drill Location = (0, -35, 0); Message: Data Sent: y
07/07/2012 19:26:34: Drill Location = (0, -36, 0); Message: Data Sent: E
07/07/2012 19:26:34: Drill Location = (0, -36, 0); Message: Data Sent: ByE
07/07/2012 19:26:34: Drill Location = (0, -36, 0); Message: Received: D
07/07/2012 19:26:35: Drill Location = (0, -36, 0); Message: Data Sent: B
07/07/2012 19:26:35: Drill Location = (0, -36, 0); Message: Data Sent: y
07/07/2012 19:26:35: Drill Location = (0, -37, 0); Message: Data Sent: E
07/07/2012 19:26:35: Drill Location = (0, -37, 0); Message: Data Sent: ByE
07/07/2012 19:26:35: Drill Location = (0, -37, 0); Message: Received: D
07/07/2012 19:26:35: Drill Location = (0, -37, 0); Message: Data Sent: B
07/07/2012 19:26:35: Drill Location = (0, -37, 0); Message: Data Sent: y
07/07/2012 19:26:35: Drill Location = (0, -38, 0); Message: Data Sent: E
07/07/2012 19:26:35: Drill Location = (0, -38, 0); Message: Data Sent: ByE
07/07/2012 19:26:35: Drill Location = (0, -38, 0); Message: Received: D
07/07/2012 19:26:35: Drill Location = (0, -38, 0); Message: Data Sent: B
07/07/2012 19:26:35: Drill Location = (0, -38, 0); Message: Data Sent: y
07/07/2012 19:26:35: Drill Location = (0, -39, 0); Message: Data Sent: E
07/07/2012 19:26:35: Drill Location = (0, -39, 0); Message: Data Sent: ByE
07/07/2012 19:26:36: Drill Location = (0, -39, 0); Message: Received: D
07/07/2012 19:26:36: Drill Location = (0, -39, 0); Message: Data Sent: B
07/07/2012 19:26:36: Drill Location = (0, -39, 0); Message: Data Sent: y
07/07/2012 19:26:36: Drill Location = (0, -40, 0); Message: Data Sent: E
07/07/2012 19:26:36: Drill Location = (0, -40, 0); Message: Data Sent: ByE
07/07/2012 19:26:36: Drill Location = (0, -40, 0); Message: Received: D
07/07/2012 19:26:36: Drill Location = (0, -40, 0); Message: Data Sent: B
07/07/2012 19:26:36: Drill Location = (0, -40, 0); Message: Data Sent: y
07/07/2012 19:26:36: Drill Location = (0, -41, 0); Message: Data Sent: E
07/07/2012 19:26:36: Drill Location = (0, -41, 0); Message: Data Sent: ByE
07/07/2012 19:26:36: Drill Location = (0, -41, 0); Message: Received: D
07/07/2012 19:26:37: Drill Location = (0, -41, 0); Message: Data Sent: B
07/07/2012 19:26:37: Drill Location = (0, -41, 0); Message: Data Sent: y
07/07/2012 19:26:37: Drill Location = (0, -42, 0); Message: Data Sent: E
07/07/2012 19:26:37: Drill Location = (0, -42, 0); Message: Data Sent: ByE
07/07/2012 19:26:37: Drill Location = (0, -42, 0); Message: Received: D
07/07/2012 19:26:37: Drill Location = (0, -42, 0); Message: Data Sent: B
07/07/2012 19:26:37: Drill Location = (0, -42, 0); Message: Data Sent: y
07/07/2012 19:26:37: Drill Location = (0, -43, 0); Message: Data Sent: E
07/07/2012 19:26:37: Drill Location = (0, -43, 0); Message: Data Sent: ByE
07/07/2012 19:26:37: Drill Location = (0, -43, 0); Message: Received: D
07/07/2012 19:26:37: Drill Location = (0, -43, 0); Message: Data Sent: B
07/07/2012 19:26:37: Drill Location = (0, -43, 0); Message: Data Sent: y
07/07/2012 19:26:37: Drill Location = (0, -44, 0); Message: Data Sent: E
07/07/2012 19:26:37: Drill Location = (0, -44, 0); Message: Data Sent: ByE
07/07/2012 19:26:38: Drill Location = (0, -44, 0); Message: Received: D
