CNC Machine Opened at 07/07/2012 18:38:16
07/07/2012 18:38:21: Drill Location = (0, 0, 0); Message: UART Open
07/07/2012 18:38:29: Drill Location = (0, 0, 0); Message: Data Sent: B
07/07/2012 18:38:29: Drill Location = (0, 0, 0); Message: Data Sent: R
07/07/2012 18:38:29: Drill Location = (0, 0, 0); Message: Data Sent: E
07/07/2012 18:38:29: Drill Location = (0, 0, 0); Message: Data Sent: BRE
07/07/2012 18:38:29: Drill Location = (0, 0, 0); Message: Received: D
07/07/2012 18:38:34: Drill Location = (0, 0, 0); Message: Data Sent: B
07/07/2012 18:38:34: Drill Location = (0, 0, 0); Message: Data Sent: z
07/07/2012 18:38:34: Drill Location = (0, 0, -1); Message: Data Sent: E
07/07/2012 18:38:34: Drill Location = (0, 0, -1); Message: Data Sent: BzE
07/07/2012 18:38:35: Drill Location = (0, 0, -2); Message: Received: D
07/07/2012 18:38:44: Drill Location = (0, 0, -2); Message: Data Sent: B
07/07/2012 18:38:44: Drill Location = (0, 0, -2); Message: Data Sent: z
07/07/2012 18:38:44: Drill Location = (0, 0, -3); Message: Data Sent: E
07/07/2012 18:38:44: Drill Location = (0, 0, -3); Message: Data Sent: BzE
07/07/2012 18:38:45: Drill Location = (0, 0, -4); Message: Received: D
07/07/2012 18:38:45: Drill Location = (0, 0, -4); Message: Data Sent: B
07/07/2012 18:38:45: Drill Location = (0, 0, -4); Message: Data Sent: z
07/07/2012 18:38:45: Drill Location = (0, 0, -5); Message: Data Sent: E
07/07/2012 18:38:45: Drill Location = (0, 0, -5); Message: Data Sent: BzE
07/07/2012 18:38:45: Drill Location = (0, 0, -6); Message: Received: D
07/07/2012 18:38:46: Drill Location = (0, 0, -6); Message: Data Sent: B
07/07/2012 18:38:46: Drill Location = (0, 0, -6); Message: Data Sent: z
07/07/2012 18:38:46: Drill Location = (0, 0, -7); Message: Data Sent: E
07/07/2012 18:38:46: Drill Location = (0, 0, -7); Message: Data Sent: BzE
07/07/2012 18:38:46: Drill Location = (0, 0, -8); Message: Received: D
07/07/2012 18:38:47: Drill Location = (0, 0, -8); Message: Data Sent: B
07/07/2012 18:38:47: Drill Location = (0, 0, -8); Message: Data Sent: Z
07/07/2012 18:38:47: Drill Location = (0, 0, -7); Message: Data Sent: E
07/07/2012 18:38:47: Drill Location = (0, 0, -7); Message: Data Sent: BZE
07/07/2012 18:38:47: Drill Location = (0, 0, -7); Message: Received: D
07/07/2012 18:38:48: Drill Location = (0, 0, -7); Message: Data Sent: B
07/07/2012 18:38:48: Drill Location = (0, 0, -7); Message: Data Sent: Z
07/07/2012 18:38:48: Drill Location = (0, 0, -6); Message: Data Sent: E
07/07/2012 18:38:48: Drill Location = (0, 0, -6); Message: Data Sent: BZE
07/07/2012 18:38:48: Drill Location = (0, 0, -6); Message: Received: D
07/07/2012 18:38:48: Drill Location = (0, 0, -6); Message: Data Sent: B
07/07/2012 18:38:48: Drill Location = (0, 0, -6); Message: Data Sent: Z
07/07/2012 18:38:48: Drill Location = (0, 0, -5); Message: Data Sent: E
07/07/2012 18:38:48: Drill Location = (0, 0, -5); Message: Data Sent: BZE
07/07/2012 18:38:49: Drill Location = (0, 0, -5); Message: Received: D
07/07/2012 18:38:49: Drill Location = (0, 0, -5); Message: Data Sent: B
07/07/2012 18:38:49: Drill Location = (0, 0, -5); Message: Data Sent: Z
07/07/2012 18:38:49: Drill Location = (0, 0, -4); Message: Data Sent: E
07/07/2012 18:38:49: Drill Location = (0, 0, -4); Message: Data Sent: BZE
07/07/2012 18:38:49: Drill Location = (0, 0, -4); Message: Received: D
07/07/2012 18:38:53: Drill Location = (0, 0, -4); Message: Data Sent: B
07/07/2012 18:38:53: Drill Location = (0, 0, -4); Message: Data Sent: Z
07/07/2012 18:38:53: Drill Location = (0, 0, -3); Message: Data Sent: E
07/07/2012 18:38:53: Drill Location = (0, 0, -3); Message: Data Sent: BZE
07/07/2012 18:38:53: Drill Location = (0, 0, -3); Message: Received: D
07/07/2012 18:38:54: Drill Location = (0, 0, -3); Message: Data Sent: B
07/07/2012 18:38:54: Drill Location = (0, 0, -3); Message: Data Sent: Z
07/07/2012 18:38:54: Drill Location = (0, 0, -2); Message: Data Sent: E
07/07/2012 18:38:54: Drill Location = (0, 0, -2); Message: Data Sent: BZE
07/07/2012 18:38:54: Drill Location = (0, 0, -2); Message: Received: D
07/07/2012 18:38:54: Drill Location = (0, 0, -2); Message: Data Sent: B
07/07/2012 18:38:54: Drill Location = (0, 0, -2); Message: Data Sent: Z
07/07/2012 18:38:54: Drill Location = (0, 0, -1); Message: Data Sent: E
07/07/2012 18:38:54: Drill Location = (0, 0, -1); Message: Data Sent: BZE
07/07/2012 18:38:54: Drill Location = (0, 0, -1); Message: Data Sent: B
07/07/2012 18:38:54: Drill Location = (0, 0, -1); Message: Data Sent: Z
07/07/2012 18:38:54: Drill Location = (0, 0, 0); Message: Data Sent: E
07/07/2012 18:38:54: Drill Location = (0, 0, 0); Message: Data Sent: BZE
07/07/2012 18:38:54: Drill Location = (0, 0, 0); Message: Received: D
07/07/2012 18:38:54: Drill Location = (0, 0, 0); Message: Data Sent: B
07/07/2012 18:38:54: Drill Location = (0, 0, 0); Message: Data Sent: Z
07/07/2012 18:38:54: Drill Location = (0, 0, 1); Message: Data Sent: E
07/07/2012 18:38:54: Drill Location = (0, 0, 1); Message: Data Sent: BZE
07/07/2012 18:38:55: Drill Location = (0, 0, 1); Message: Received: D
07/07/2012 18:38:55: Drill Location = (0, 0, 1); Message: Data Sent: B
07/07/2012 18:38:55: Drill Location = (0, 0, 1); Message: Data Sent: Z
07/07/2012 18:38:55: Drill Location = (0, 0, 2); Message: Data Sent: E
07/07/2012 18:38:55: Drill Location = (0, 0, 2); Message: Data Sent: BZE
07/07/2012 18:38:55: Drill Location = (0, 0, 2); Message: Received: D
07/07/2012 18:38:55: Drill Location = (0, 0, 2); Message: Data Sent: B
07/07/2012 18:38:55: Drill Location = (0, 0, 2); Message: Data Sent: Z
07/07/2012 18:38:55: Drill Location = (0, 0, 3); Message: Data Sent: E
07/07/2012 18:38:55: Drill Location = (0, 0, 3); Message: Data Sent: BZE
07/07/2012 18:38:55: Drill Location = (0, 0, 3); Message: Received: D
07/07/2012 18:38:56: Drill Location = (0, 0, 3); Message: Data Sent: B
07/07/2012 18:38:56: Drill Location = (0, 0, 3); Message: Data Sent: Z
07/07/2012 18:38:56: Drill Location = (0, 0, 4); Message: Data Sent: E
07/07/2012 18:38:56: Drill Location = (0, 0, 4); Message: Data Sent: BZE
07/07/2012 18:38:56: Drill Location = (0, 0, 4); Message: Received: D
07/07/2012 18:38:56: Drill Location = (0, 0, 4); Message: Data Sent: B
07/07/2012 18:38:56: Drill Location = (0, 0, 4); Message: Data Sent: Z
07/07/2012 18:38:56: Drill Location = (0, 0, 5); Message: Data Sent: E
07/07/2012 18:38:56: Drill Location = (0, 0, 5); Message: Data Sent: BZE
07/07/2012 18:38:56: Drill Location = (0, 0, 5); Message: Data Sent: B
07/07/2012 18:38:56: Drill Location = (0, 0, 5); Message: Data Sent: Z
07/07/2012 18:38:56: Drill Location = (0, 0, 6); Message: Data Sent: E
07/07/2012 18:38:56: Drill Location = (0, 0, 6); Message: Data Sent: BZE
07/07/2012 18:38:57: Drill Location = (0, 0, 6); Message: Received: D
07/07/2012 18:38:57: Drill Location = (0, 0, 6); Message: Data Sent: B
07/07/2012 18:38:57: Drill Location = (0, 0, 6); Message: Data Sent: Z
07/07/2012 18:38:57: Drill Location = (0, 0, 7); Message: Data Sent: E
07/07/2012 18:38:57: Drill Location = (0, 0, 7); Message: Data Sent: BZE
07/07/2012 18:38:57: Drill Location = (0, 0, 7); Message: Data Sent: B
07/07/2012 18:38:57: Drill Location = (0, 0, 7); Message: Data Sent: Z
07/07/2012 18:38:57: Drill Location = (0, 0, 8); Message: Data Sent: E
07/07/2012 18:38:57: Drill Location = (0, 0, 8); Message: Data Sent: BZE
07/07/2012 18:38:57: Drill Location = (0, 0, 8); Message: Received: D
07/07/2012 18:38:57: Drill Location = (0, 0, 8); Message: Data Sent: B
07/07/2012 18:38:57: Drill Location = (0, 0, 8); Message: Data Sent: Z
07/07/2012 18:38:57: Drill Location = (0, 0, 9); Message: Data Sent: E
07/07/2012 18:38:57: Drill Location = (0, 0, 9); Message: Data Sent: BZE
07/07/2012 18:38:58: Drill Location = (0, 0, 9); Message: Received: D
07/07/2012 18:38:58: Drill Location = (0, 0, 9); Message: Data Sent: B
07/07/2012 18:38:58: Drill Location = (0, 0, 9); Message: Data Sent: Z
07/07/2012 18:38:58: Drill Location = (0, 0, 10); Message: Data Sent: E
07/07/2012 18:38:58: Drill Location = (0, 0, 10); Message: Data Sent: BZE
07/07/2012 18:38:58: Drill Location = (0, 0, 10); Message: Received: D
07/07/2012 18:38:58: Drill Location = (0, 0, 10); Message: Data Sent: B
07/07/2012 18:38:58: Drill Location = (0, 0, 10); Message: Data Sent: Z
07/07/2012 18:38:58: Drill Location = (0, 0, 11); Message: Data Sent: E
07/07/2012 18:38:58: Drill Location = (0, 0, 11); Message: Data Sent: BZE
07/07/2012 18:38:59: Drill Location = (0, 0, 11); Message: Received: D
07/07/2012 18:38:59: Drill Location = (0, 0, 11); Message: Data Sent: B
07/07/2012 18:38:59: Drill Location = (0, 0, 11); Message: Data Sent: Z
07/07/2012 18:38:59: Drill Location = (0, 0, 12); Message: Data Sent: E
07/07/2012 18:38:59: Drill Location = (0, 0, 12); Message: Data Sent: BZE
07/07/2012 18:38:59: Drill Location = (0, 0, 12); Message: Received: D
07/07/2012 18:38:59: Drill Location = (0, 0, 12); Message: Data Sent: B
07/07/2012 18:38:59: Drill Location = (0, 0, 12); Message: Data Sent: Z
07/07/2012 18:38:59: Drill Location = (0, 0, 13); Message: Data Sent: E
07/07/2012 18:38:59: Drill Location = (0, 0, 13); Message: Data Sent: BZE
07/07/2012 18:39:00: Drill Location = (0, 0, 13); Message: Received: D
07/07/2012 18:39:00: Drill Location = (0, 0, 13); Message: Data Sent: B
07/07/2012 18:39:00: Drill Location = (0, 0, 13); Message: Data Sent: Z
07/07/2012 18:39:00: Drill Location = (0, 0, 14); Message: Data Sent: E
07/07/2012 18:39:00: Drill Location = (0, 0, 14); Message: Data Sent: BZE
07/07/2012 18:39:00: Drill Location = (0, 0, 14); Message: Received: D
07/07/2012 18:39:00: Drill Location = (0, 0, 14); Message: Data Sent: B
07/07/2012 18:39:00: Drill Location = (0, 0, 14); Message: Data Sent: Z
07/07/2012 18:39:00: Drill Location = (0, 0, 15); Message: Data Sent: E
07/07/2012 18:39:00: Drill Location = (0, 0, 15); Message: Data Sent: BZE
07/07/2012 18:39:01: Drill Location = (0, 0, 15); Message: Received: D
07/07/2012 18:39:01: Drill Location = (0, 0, 15); Message: Data Sent: B
07/07/2012 18:39:01: Drill Location = (0, 0, 15); Message: Data Sent: Z
07/07/2012 18:39:01: Drill Location = (0, 0, 16); Message: Data Sent: E
07/07/2012 18:39:01: Drill Location = (0, 0, 16); Message: Data Sent: BZE
07/07/2012 18:39:01: Drill Location = (0, 0, 16); Message: Received: D
07/07/2012 18:39:01: Drill Location = (0, 0, 16); Message: Data Sent: B
07/07/2012 18:39:01: Drill Location = (0, 0, 16); Message: Data Sent: Z
07/07/2012 18:39:01: Drill Location = (0, 0, 17); Message: Data Sent: E
07/07/2012 18:39:01: Drill Location = (0, 0, 17); Message: Data Sent: BZE
07/07/2012 18:39:01: Drill Location = (0, 0, 17); Message: Received: D
07/07/2012 18:39:02: Drill Location = (0, 0, 17); Message: Data Sent: B
07/07/2012 18:39:02: Drill Location = (0, 0, 17); Message: Data Sent: Z
07/07/2012 18:39:02: Drill Location = (0, 0, 18); Message: Data Sent: E
07/07/2012 18:39:02: Drill Location = (0, 0, 18); Message: Data Sent: BZE
07/07/2012 18:39:02: Drill Location = (0, 0, 18); Message: Received: D
07/07/2012 18:39:02: Drill Location = (0, 0, 18); Message: Data Sent: B
07/07/2012 18:39:02: Drill Location = (0, 0, 18); Message: Data Sent: Z
07/07/2012 18:39:02: Drill Location = (0, 0, 19); Message: Data Sent: E
07/07/2012 18:39:02: Drill Location = (0, 0, 19); Message: Data Sent: BZE
07/07/2012 18:39:02: Drill Location = (0, 0, 19); Message: Received: D
07/07/2012 18:39:02: Drill Location = (0, 0, 19); Message: Data Sent: B
07/07/2012 18:39:02: Drill Location = (0, 0, 19); Message: Data Sent: Z
07/07/2012 18:39:02: Drill Location = (0, 0, 20); Message: Data Sent: E
07/07/2012 18:39:02: Drill Location = (0, 0, 20); Message: Data Sent: BZE
07/07/2012 18:39:03: Drill Location = (0, 0, 20); Message: Received: D
07/07/2012 18:39:03: Drill Location = (0, 0, 20); Message: Data Sent: B
07/07/2012 18:39:03: Drill Location = (0, 0, 20); Message: Data Sent: Z
07/07/2012 18:39:03: Drill Location = (0, 0, 21); Message: Data Sent: E
07/07/2012 18:39:03: Drill Location = (0, 0, 21); Message: Data Sent: BZE
07/07/2012 18:39:03: Drill Location = (0, 0, 21); Message: Received: D
07/07/2012 18:39:03: Drill Location = (0, 0, 21); Message: Data Sent: B
07/07/2012 18:39:03: Drill Location = (0, 0, 21); Message: Data Sent: Z
07/07/2012 18:39:03: Drill Location = (0, 0, 22); Message: Data Sent: E
07/07/2012 18:39:03: Drill Location = (0, 0, 22); Message: Data Sent: BZE
07/07/2012 18:39:04: Drill Location = (0, 0, 22); Message: Received: D
